FID,id,geom,listaan,kartalle,alakategoria,hankenumero,hanke,hanke_ruotsi,hanke_englanti,sisalto,sisalto_ruotsi,sisalto_englanti,omistaja,laajuus_m2,kust_arvio_me,alkaavuosi,paattyyvuosi,rakentaminen_alkaa,valmistuminen,uudisrakentaminen,korjausrakentaminen,katuosoite,p,i,paivitetty_tietopalveluun,datanomistaja
Helsingin_kaupungin_rakennushankkeet_2018.26,26,POINT (6672689.5 25496578.63),TOSI,TOSI,Kasvatuksen ja koulutuksen toimiala,X20170049,Ressun lukio,Ressun lukio,Ressun lukio,Perusparannus,Ombyggnad,Rebuilding,Kaupunkiympäristön toimiala,7 260,15.6,2018,2019,2018,2019,EPÄTOSI,TOSI,Kalevankatu 8-10,6672689.5,25496578.63,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.27,27,POINT (6676727.75 25503508),TOSI,TOSI,Sosiaali- ja terveystoimiala,X20170050,Roihuvuoren monipuolinen palvelukeskus,Kasbergets mångsidiga servicecentral,Roihuvuori comprehensive service centre,Tiiliverhouksen uusiminen,Förnyande av tegelfodringen,Renewal of the brick lining,Kaupunkiympäristön toimiala,9 368,4.6,2017,2018,2017,2018,EPÄTOSI,TOSI,Punahilkantie 16,6676727.75,25503508,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.28,28,POINT (6676765.853 25497105.52),TOSI,TOSI,Sosiaali- ja terveystoimiala,X20170051,Sofianlehdon vaikeasti kehitysvammaisten päivätoimintakeskus,Sofielunds dagverksamhetscentrum för gravt utvecklingsstörda,Sofianlehto activity centre for severely mentally disabled,"Sofianlehdon A-talon toiminnallinen muutos: toimintakeskus, kehitysvammapoliklinikka ja LAH-tilat","Funktionell ändring av Sofielunds A-hus: verksamhetscentral, poliklinik för utvecklingsstörda och LAH–lokaler","Functional change of the Sofialehto A-house: Acticity centre,  outpatient clinic for the intellectually disabled and LAH premises",Kaupunkiympäristön toimiala,4 438,7.38,2017,2018,2017,2018,EPÄTOSI,TOSI,"Sofianlehdonkatu 8, rak a + b",6676765.853,25497105.52,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.29,29,POINT (6677071.43 25508125.95),TOSI,TOSI,Sosiaali- ja terveystoimiala,X20170052,Palvelukeskus Albatross Oy,Servicecentralen Albatross Oy,Service centre Albatross Oy,Muutostyöt terveys- ja hyvinvointikeskukselle ja perhekeskukselle,Ändringsarbeten för hälso- och välfärdscenter och familjecenter,Alteration works for a health and welfare centre and a family centre,Kaupunkiympäristön toimiala,7 753,2.9,2017,2018,2017,2018,EPÄTOSI,TOSI,Kahvikuja 3,6677071.43,25508125.95,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.30,30,POINT (6673372.22 25496560),TOSI,TOSI,Kulttuurin ja vapaa-ajan toimiala,X20170053,Keskustakirjasto,Centrumbiblioteket,Central Library,Uudisrakennus (Helsingin osuus),Nybyggnad (Helsingfors andel),New construction (Helsinki's share),Kaupunkiympäristön toimiala,17 000,96,2015,2018,2015,2018,TOSI,EPÄTOSI,Töölönlahdenkatu 1,6673372.22,25496560,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.31,31,POINT (6678124.39 25508746.36),TOSI,TOSI,Muut,X20170054,Staran ja Liv:n Vuosaaren tukikohta,Staras och kultur- och fritidssektorns arbetsstation i Nordsjö,Stara's and the Culture and Leisure Division's work station in Vuosaari,Roihupellon korvaavat tilat,Ersättande lokaler i Kasåker,Temporary premises in Roihupelto,Kaupunkiympäristön toimiala,8 996,21.6,2017,2019,2017,2019,TOSI,EPÄTOSI,Itäreimarintie 5,6678124.39,25508746.36,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.32,32,POINT (6678989.75 25504347.5),TOSI,TOSI,Muut,X20170055,Myllypuron kampus,Campus i Kvarnbäcken,Myllypuro Campus,Myllypuron kampus Metropolia amk. käyttöön,Campus i Kvarnbäcken för Yr.högsk. Metropolias bruk,Campus in Myllypuro for Metropolia UAS's use,Koy,56 000,165,2016,2019,2016,2019,TOSI,EPÄTOSI,,6678989.75,25504347.5,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.33,33,POINT (6674136.75 25497303.03),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170056,Hakaniemen kauppahalli,Hagnäs saluhall,Hakaniemi Market Hall,Perusparannus,Ombyggnad,Rebuilding,Kaupunkiympäristön toimiala,4 675,12.5,2018,2019,2018,2019,EPÄTOSI,TOSI,Hakaniemen tori,6674136.75,25497303.03,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.34,34,POINT (6677958.35 25498919.83),TOSI,TOSI,Muut,X20170057,"Metropolia, kulttuuriala, Hämeentie 161","Metropolia, kulturbranschen, Tavastvägen 161","Metropolia, faculty of culture, Hämeentie 161",Arabianrannan kampuksen muutostyöt,Ändringsarbeten på campus i Arabiastranden,Alteration works on Arabianranta campus,Kaupunkiympäristön toimiala,,4.6,2018,2019,2018,2019,EPÄTOSI,TOSI,Hämeentie 161,6677958.35,25498919.83,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.35,35,POINT (6675099.49 25498686.26),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170058,Kaupunkiympäristön toimialan yhteinen tilahanke,Stadsmiljösektorns gemensamma lokalprojekt,Urban Environment Division's joint premises project,Uusi vuokrakohde tai Koy,Nytt hyresobjekt eller fastighetsaktiebolag,New rented object or joint-stock property company,Koy tai vuokra,46140,113,2017,2019,2017,2019,TOSI,EPÄTOSI,,6675099.49,25498686.26,2018-04-16,Helsinki/Kanslia
